Timestamp,Temperature,Vibration,Motor_Current,Machine_Health,Machine_Status,Remaining_Useful_Life_Days
2026-08-02 19:46:02,61.75,0.21,8.13,100.0,Healthy,343
2026-08-03 19:46:02,61.45,0.18,8.05,100.0,Healthy,342
2026-08-04 19:46:02,61.9,0.19,8.06,99.9,Healthy,341
2026-08-05 19:46:02,62.34,0.22,8.04,99.9,Healthy,340
2026-08-06 19:46:02,62.07,0.21,8.06,99.9,Healthy,339
2026-08-07 19:46:02,61.41,0.21,8.06,100.0,Healthy,338
2026-08-08 19:46:02,61.86,0.22,8.05,99.9,Healthy,337
2026-08-09 19:46:02,61.86,0.21,8.06,100.0,Healthy,336
2026-08-10 19:46:02,61.56,0.19,8.06,99.9,Healthy,335
2026-08-11 19:46:02,61.35,0.22,8.07,100.0,Healthy,334
2026-08-12 19:46:02,61.31,0.17,8.06,100.0,Healthy,333
2026-08-13 19:46:02,61.16,0.2,8.07,99.9,Healthy,332
2026-08-14 19:46:02,61.35,0.26,8.04,99.9,Healthy,331
2026-08-15 19:46:02,61.09,0.25,8.0,100.0,Healthy,330
2026-08-16 19:46:02,60.94,0.22,8.02,99.9,Healthy,329
2026-08-17 19:46:02,61.16,0.23,8.1,99.9,Healthy,328
2026-08-18 19:46:02,61.64,0.23,8.06,99.8,Healthy,327
2026-08-19 19:46:02,61.7,0.2,8.07,100.0,Healthy,326
2026-08-20 19:46:02,61.88,0.26,8.05,99.9,Healthy,325
2026-08-21 19:46:02,61.86,0.21,8.12,100.0,Healthy,324
2026-08-22 19:46:02,61.65,0.22,8.07,99.8,Healthy,323
2026-08-23 19:46:02,61.31,0.2,8.08,99.9,Healthy,322
2026-08-24 19:46:02,61.8,0.21,8.02,99.9,Healthy,321
2026-08-25 19:46:02,61.76,0.21,8.12,99.9,Healthy,320
2026-08-26 19:46:02,61.91,0.16,8.11,99.9,Healthy,319
2026-08-27 19:46:02,61.52,0.19,8.09,99.9,Healthy,318
2026-08-28 19:46:02,61.23,0.23,8.03,99.9,Healthy,317
2026-08-29 19:46:02,61.21,0.25,8.08,100.0,Healthy,316
2026-08-30 19:46:02,61.71,0.21,8.07,99.8,Healthy,315
2026-08-31 19:46:02,61.11,0.25,8.0,99.9,Healthy,314
2026-09-01 19:46:02,61.26,0.22,8.07,99.9,Healthy,313
2026-09-02 19:46:02,61.23,0.25,8.0,99.8,Healthy,312
2026-09-03 19:46:02,61.45,0.22,8.08,99.9,Healthy,311
2026-09-04 19:46:02,61.55,0.22,8.09,99.9,Healthy,310
2026-09-05 19:46:02,61.75,0.22,8.1,99.9,Healthy,309
2026-09-06 19:46:02,61.82,0.19,8.09,100.0,Healthy,308
2026-09-07 19:46:02,61.97,0.2,8.08,99.7,Healthy,307
2026-09-08 19:46:02,61.73,0.2,8.06,99.8,Healthy,306
2026-09-09 19:46:02,61.47,0.17,8.05,99.8,Healthy,305
2026-09-10 19:46:02,61.59,0.21,8.06,99.8,Healthy,304
2026-09-11 19:46:02,61.93,0.21,8.08,99.7,Healthy,303
2026-09-12 19:46:02,61.87,0.27,8.05,99.9,Healthy,302
2026-09-13 19:46:02,61.19,0.21,8.04,99.8,Healthy,301
2026-09-14 19:46:02,61.8,0.2,8.13,99.6,Healthy,300
2026-09-15 19:46:02,61.18,0.21,8.06,99.7,Healthy,299
2026-09-16 19:46:02,61.67,0.23,8.02,99.8,Healthy,298
2026-09-17 19:46:02,61.85,0.21,8.15,99.7,Healthy,297
2026-09-18 19:46:02,61.82,0.23,8.02,99.6,Healthy,296
2026-09-19 19:46:02,62.07,0.17,8.03,99.7,Healthy,295
2026-09-20 19:46:02,61.92,0.2,8.06,99.8,Healthy,294
2026-09-21 19:46:02,61.71,0.18,8.07,99.8,Healthy,293
2026-09-22 19:46:02,61.88,0.2,8.07,99.8,Healthy,292
2026-09-23 19:46:02,61.51,0.24,8.13,99.8,Healthy,291
2026-09-24 19:46:02,61.67,0.19,8.09,99.7,Healthy,290
2026-09-25 19:46:02,61.84,0.26,8.1,99.7,Healthy,289
2026-09-26 19:46:02,61.5,0.24,8.16,99.6,Healthy,288
2026-09-27 19:46:02,61.73,0.21,8.09,99.7,Healthy,287
2026-09-28 19:46:02,61.37,0.22,8.11,99.7,Healthy,286
2026-09-29 19:46:02,61.1,0.22,8.09,99.8,Healthy,285
2026-09-30 19:46:02,61.34,0.19,8.05,99.5,Healthy,284
2026-10-01 19:46:02,60.75,0.18,8.09,99.7,Healthy,283
2026-10-02 19:46:02,61.31,0.2,8.05,99.7,Healthy,282
2026-10-03 19:46:02,61.47,0.19,8.11,99.7,Healthy,281
2026-10-04 19:46:02,61.63,0.19,8.06,99.5,Healthy,280
2026-10-05 19:46:02,61.4,0.19,8.08,99.7,Healthy,279
2026-10-06 19:46:02,61.2,0.2,8.04,99.6,Healthy,278
2026-10-07 19:46:02,61.42,0.21,8.08,99.6,Healthy,277
2026-10-08 19:46:02,61.36,0.18,8.13,99.7,Healthy,276
2026-10-09 19:46:02,61.72,0.23,8.11,99.7,Healthy,275
2026-10-10 19:46:02,61.61,0.2,8.09,99.5,Healthy,274
2026-10-11 19:46:02,61.41,0.19,8.12,99.6,Healthy,273
2026-10-12 19:46:02,61.21,0.22,8.09,99.8,Healthy,272
2026-10-13 19:46:02,61.44,0.19,8.2,99.8,Healthy,271
2026-10-14 19:46:02,61.32,0.21,8.08,99.8,Healthy,270
2026-10-15 19:46:02,61.65,0.16,8.06,99.5,Healthy,269
2026-10-16 19:46:02,61.55,0.21,8.05,99.5,Healthy,268
2026-10-17 19:46:02,61.31,0.21,8.07,99.6,Healthy,267
2026-10-18 19:46:02,60.87,0.22,8.07,99.8,Healthy,266
2026-10-19 19:46:02,60.83,0.24,7.99,99.6,Healthy,265
2026-10-20 19:46:02,61.41,0.21,8.07,99.4,Healthy,264
2026-10-21 19:46:02,61.27,0.21,8.06,99.5,Healthy,263
2026-10-22 19:46:02,60.9,0.24,8.07,99.4,Healthy,262
2026-10-23 19:46:02,61.32,0.22,8.06,99.4,Healthy,261
2026-10-24 19:46:02,61.22,0.2,8.08,99.9,Healthy,260
2026-10-25 19:46:02,61.51,0.22,8.13,99.5,Healthy,259
2026-10-26 19:46:02,62.1,0.23,8.04,99.5,Healthy,258
2026-10-27 19:46:02,61.75,0.21,8.06,99.5,Healthy,257
2026-10-28 19:46:02,61.92,0.2,8.01,99.7,Healthy,256
2026-10-29 19:46:02,61.8,0.2,8.06,99.5,Healthy,255
2026-10-30 19:46:02,61.67,0.2,8.04,99.7,Healthy,254
2026-10-31 19:46:02,61.91,0.16,8.08,99.6,Healthy,253
2026-11-01 19:46:02,61.57,0.19,8.13,99.5,Healthy,252
